tienda,ROP,PO
82,180793.06428571427,207912.02392857138
84,93777.34285714287,107843.94428571429
86,122230.69285714286,140565.29678571428
144,60663.9,69763.485
299,67293.05714285714,77387.0157142857
419,62544.65714285714,71926.3557142857
462,42801.56428571429,49221.79892857143
503,6314.665714285715,7261.8655714285715
511,50531.188571428575,58110.86685714286
512,22586.714285714286,25974.721428571425
712,35836.7,41212.204999999994
758,24099.868571428575,27714.84885714286
822,43913.73571428571,50500.79607142856
846,89938.59285714287,103429.38178571429
954,85127.90714285713,97897.09321428569
1050,46342.642857142855,53294.03928571428
1159,73926.19285714286,85015.12178571428
1389,50022.84285714286,57526.26928571428
6548,24016.632857142857,27619.12778571428
7824,20046.10714285714,23053.02321428571
